position,user,score
635,theadamabrams,68
640,Danny Lin,67
640,HoLLy,67
640,Aymeric Wibo,67
640,Ahmed Magri,67
644,Minh Nguyen Quang,66
644,SoodonymAlias,66
644,alexanderthiem,66
644,J Carr,66
648,BelgianSalamander,65
648,lewinski,65
648,CaptainSora,65
648,anonymous user #251872,65
648,Matthew Reeder,65
648,cuddli,65
648,llyyr,65
655,Michael Skyba,64
655,sorawit,64
655,Strikeeaglechase,64
655,Marcelo Fornet,64
655,Tony Jiang,64
655,Colin Stewart,64
655,proxima b,64
655,Yves77Yves,64
655,Robert Tupelo-Schneck,64
655,kapilgain,64
655,Sergey Ilyevsky,64
666,Cai Zhenzhi,63
666,duckyluuk,63
666,phoyh,63
666,Dan Adkins,63
670,BrooklynS,62
670,Eric Higgins,62
670,Jeroen Op de Beek,62
670,nfejes,62
670,Garrett Lyon,62
670,Christian Czekay ,62
676,jdabtieu,61
676,Redstone_Flash,61
676,Tim Kt,61
676,Nikita Gaevoy,61
676,BendettaSD,61
681,Coby Tran,60
681,Calvin Godfrey,60
681,lxylxy123456,60
681,wincss,60
681,DottedCalculator,60
681,cmears,60
681,takeuchi-masaki,60
681,TrueBoxGuy,60
689,sndyx ,59
689,anonymous user #685930,59
689,pt1243,59
689,Jessica Yuan,59
689,msc-27,59
694,Derek Dong,58
694,LiquidFun,58
696,Tim Black,57
696,RussellDash332,57
696,Ali Toosi,57
696,Michael Goldwasser,57
696,HalbFettKaese,57
696,Maxim Buzdalov,57
696,anonymous user #2783989,57
696,Dustin Ward,57
696,imneme,57
696,zilch40,57
706,Krish,56
706,Gymhgy,56
706,Nnnes,56
706,Maha Zainab,56
710,DLu,55
710,anonymous user #1132516,55
710,Avongard,55
710,anonymous user #146689,55
710,anonymous user #2510185,55
710,TheSuperGamer20578,55
710,Gábor Tar,55
717,Brian Bucklew,54
717,XHRogerCao,54
717,Forest Anderson,54
717,Rishi Vijay,54
717,Rayson Koh ,54
722,anonymous user #614991,53
722,bruteforceboy,53
722,Jacob Wood,53
722,Rohan Jain,53
722,hchokshi,53
722,Dennis Tian,53
722,XeroOl,53
722,Nicolas Normand,53
722,Renske Idzenga,53
722,a-e-k,53
732,5joshi,52
732,Tobias-Glimmerfors,52
732,ephemient,52
732,Mantra Trambadia,52
732,Nico-Posada,52
732,comfyanonymous,52
738,Chao Zhang,51
738,Leo Uino ,51
738,Jerry Xu,51
738,Finn,51
738,elu00,51
738,Shawn M Moore,51
738,anonymous user #289486,51
738,official-techsupport,51
738,Alan Burić,51
738,Andy Magee,51
748,Aaron Fink,50
748,andrewhuang56,50
748,Bing-Dong Liu,50
748,Amel Avdic,50
748,iProgramInCpp,50
748,Zichen Zheng,50
748,sparkyb,50
748,daviklo,50
756,CAG2Mark,49
756,jvmusin,49
756,Sam Harrison,49
756,Jiacheng (Alan) Liang,49
